evidence_key,source_key,source_locator,literal_variety,canonical_dialect_candidate,evidence_type,tafsiri_summary,notation,verification_status,reviewer_decision,reviewer_notes
LE001_4C234E9865460655ED873AED,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 44,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,IDEOPHONE_ASSERTION,Degree ideophones are lexically restricted in the predicates they modify.,,UNVERIFIED,,
LE001_D153CDB7F6E4326E29B3BD0E,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 44,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,IDEOPHONE_ASSERTION,Degree ideophones can express stronger intensification than the general intensifier saana.,,UNVERIFIED,,
LE001_A5B21D001A9CB8162896F9DC,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 44,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,SYNTACTIC_RULE,The non-triplicated degree ideophones examined cannot stand alone.,,UNVERIFIED,,
LE001_0C28C9DA84C8EE6B89422EE8,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 45,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,IDEOPHONE_ASSERTION,Three examined ideophones combine with particular degree-denoting nouns.,,UNVERIFIED,,
LE001_D8440DC0FFD7A6195D942D2B,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 46,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,IDEOPHONE_ASSERTION,Degree ideophones combine with verbs whose semantic core is gradable and adjectival.,,UNVERIFIED,,
LE001_D3AC7318BED06ADFE7395497,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 47,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,IDEOPHONE_ASSERTION,"The paper proposes that ideophones can function as cross-categorial degree intensifiers in Llogoori, Lunyore, and Lutiriki.",,UNVERIFIED,,
LE001_EF217B483AEE23513BD46581,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 47,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,LEXICAL_CATEGORY_ASSERTION,The paper analyzes triplicated ideophone uses as adverb-like.,,UNVERIFIED,,
LE001_A6B7846D8CE14D975A187FA9,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 47,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,SYNTACTIC_RULE,Triplicated ideophone forms can occur in cleft-like structures and can stand alone.,,UNVERIFIED,,
LE001_088103F0D3CA4FAD6377CAC4,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 48,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,DIALECT_VARIATION_ASSERTION,"Ideophone distribution differs among Llogoori, Lunyore, and Lutiriki.",,UNVERIFIED,,
LE001_D038741B3BDE982A53DD3D78,BOWLER_GLUCKMAN_2017_IDEOPHONES,PDF p. 48,Llogoori; Lunyore; Lutiriki,Maragoli; Lunyore; Tiriki,DIALECT_VARIATION_ASSERTION,The form mno has a narrower distribution in Llogoori than in Lutiriki.,,UNVERIFIED,,
