sample_sequence,sample_group,dictionary_entry_id,word,word_normalized,english_definition,part_of_speech,noun_class,dialect,bucket,mapping_status,ambiguity_action,heuristic_confidence,proposed_concept_key,heuristic_flags,ambiguity_indicators,reason_codes,repeated_form_count,distinct_definition_count,same_definition_form_count,other_definitions_for_form,reviewer_decision,reviewer_concept_label,reviewer_definition,reviewer_notes,pipeline_bucket_correct,pipeline_ambiguity_correct
1,targeted_edge,b4631412-3d95-4c9e-b9c2-666effc7d80d,ameno,ameno,teeth,n.,,Luwanga,A,proposed,,0.95,BODY_TEETH,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,1,[],,,,,,
2,targeted_edge,1a8881ca-eecb-424f-94b6-5735c9b4f6d5,amaatsi,amaatsi,water,n.,,Luwanga,A,proposed,,0.75,NATURE_WATER,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,2,[],,,,,,
3,targeted_edge,9f08aa79-8dce-4315-a787-76770fb8c11c,amatsi,amatsi,water,n.,,Luwanga,A,proposed,,0.75,NATURE_WATER,"[""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""]",[],"[""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""]",1,1,2,[],,,,,,
4,targeted_edge,b4f8f176-eafe-4ffc-b0bb-0fae40344451,likofi,likofi,debt,n.,,Luwanga,C,needs_split,polysemy,0.15,,[],"[""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""navel; umbilicus; placenta""]",,,,,,
5,targeted_edge,d23caccb-7276-436f-ad32-5378c90afced,likofi,likofi,navel; umbilicus; placenta,n.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""repeated_form_multiple_definitions"", ""semicolon_segments""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS"", ""SEMICOLON_SEGMENTS""]",2,2,1,"[""debt""]",,,,,,
6,targeted_edge,86d14aa7-1fdc-425d-b312-54629d750ba3,ingwe,ingwe,leopard,n.,,Luwanga,C,needs_split,polysemy,0.15,,[],"[""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""a plant whose very severe ash is used for healing the wounds of boys who have been circumcised""]",,,,,,
7,targeted_edge,bae35351-9b2b-44ff-89d8-85f35849dbd0,ingwe,ingwe,a plant whose very severe ash is used for healing the wounds of boys who have been circumcised,n.,,Luwanga,C,needs_split,polysemy,0.0,,"[""context_marker:used for""]","[""contextual_language"", ""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""leopard""]",,,,,,
8,targeted_edge,4b619137-fd5c-4507-9816-a77f4f717275,okhufwa,okhufwa,"die, be unconscious, be in a weak and apparently dying condition",v.int.,,Luwanga,C,needs_split,polysemy,0.15,,[],"[""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""shine (of sunlight)""]",,,,,,
9,targeted_edge,c58fc4fc-e12c-4ab8-99ea-2a8badfa0c59,okhufwa,okhufwa,shine (of sunlight),v.int.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""contextual_language"", ""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""die, be unconscious, be in a weak and apparently dying condition""]",,,,,,
10,targeted_edge,a774e12e-5fac-4abc-a467-d3d6d0d11a84,libafu,libafu,bath (<Swahili),n.,,Luwanga,C,needs_split,polysemy,0.0,,[],"[""contextual_language"", ""repeated_form_multiple_definitions""]","[""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""REPEATED_FORM_MULTIPLE_DEFINITIONS""]",2,2,1,"[""procession of safari ants""]",,,,,,
